IP,Port,Protocol,Status,Service
192.168.1.60,6,TCP,Free,
192.168.1.60,1,TCP,Free,
192.168.1.60,9,TCP,Free,
192.168.1.60,15,TCP,Free,
192.168.1.60,22,TCP,Free,
192.168.1.60,12,TCP,Free,
192.168.1.60,11,TCP,Free,
192.168.1.60,21,TCP,Free,
192.168.1.60,3,TCP,Free,
192.168.1.60,43,TCP,Free,
192.168.1.60,27,TCP,Free,
192.168.1.60,8,TCP,Free,
192.168.1.60,2,TCP,Free,
192.168.1.60,34,TCP,Free,
192.168.1.60,23,TCP,Free,
192.168.1.60,33,TCP,Free,
192.168.1.60,29,TCP,Free,
192.168.1.60,38,TCP,Free,
192.168.1.60,19,TCP,Free,
192.168.1.60,13,TCP,Free,
192.168.1.60,10,TCP,Free,
192.168.1.60,45,TCP,Free,
192.168.1.60,16,TCP,Free,
192.168.1.60,46,TCP,Free,
192.168.1.60,25,TCP,Free,
192.168.1.60,31,TCP,Free,
192.168.1.60,35,TCP,Free,
192.168.1.60,32,TCP,Free,
192.168.1.60,36,TCP,Free,
192.168.1.60,47,TCP,Free,
192.168.1.60,48,TCP,Free,
192.168.1.60,24,TCP,Free,
192.168.1.60,5,TCP,Free,
192.168.1.60,14,TCP,Free,
192.168.1.60,41,TCP,Free,
192.168.1.60,4,TCP,Free,
192.168.1.60,49,TCP,Free,
192.168.1.60,42,TCP,Free,
192.168.1.60,39,TCP,Free,
192.168.1.60,40,TCP,Free,
192.168.1.60,7,TCP,Free,
192.168.1.60,30,TCP,Free,
192.168.1.60,17,TCP,Free,
192.168.1.60,20,TCP,Free,
192.168.1.60,28,TCP,Free,
192.168.1.60,44,TCP,Free,
192.168.1.60,37,TCP,Free,
192.168.1.60,26,TCP,Free,
192.168.1.60,18,TCP,Free,
192.168.1.60,50,TCP,Free,
192.168.1.60,53,TCP,Free,
192.168.1.60,56,TCP,Free,
192.168.1.60,80,TCP,Free,
192.168.1.60,72,TCP,Free,
192.168.1.60,95,TCP,Free,
192.168.1.60,67,TCP,Free,
192.168.1.60,65,TCP,Free,
192.168.1.60,93,TCP,Free,
192.168.1.60,98,TCP,Free,
192.168.1.60,92,TCP,Free,
192.168.1.60,66,TCP,Free,
192.168.1.60,54,TCP,Free,
192.168.1.60,75,TCP,Free,
192.168.1.60,57,TCP,Free,
192.168.1.60,70,TCP,Free,
192.168.1.60,58,TCP,Free,
192.168.1.60,87,TCP,Free,
192.168.1.60,99,TCP,Free,
192.168.1.60,78,TCP,Free,
192.168.1.60,73,TCP,Free,
192.168.1.60,64,TCP,Free,
192.168.1.60,91,TCP,Free,
192.168.1.60,79,TCP,Free,
192.168.1.60,94,TCP,Free,
192.168.1.60,61,TCP,Free,
192.168.1.60,84,TCP,Free,
192.168.1.60,83,TCP,Free,
192.168.1.60,63,TCP,Free,
192.168.1.60,59,TCP,Free,
192.168.1.60,51,TCP,Free,
192.168.1.60,77,TCP,Free,
192.168.1.60,90,TCP,Free,
192.168.1.60,97,TCP,Free,
192.168.1.60,81,TCP,Free,
192.168.1.60,74,TCP,Free,
192.168.1.60,71,TCP,Free,
192.168.1.60,68,TCP,Free,
192.168.1.60,52,TCP,Free,
192.168.1.60,86,TCP,Free,
192.168.1.60,85,TCP,Free,
192.168.1.60,96,TCP,Free,
192.168.1.60,69,TCP,Free,
192.168.1.60,88,TCP,Free,
192.168.1.60,62,TCP,Free,
192.168.1.60,76,TCP,Free,
192.168.1.60,82,TCP,Free,
192.168.1.60,60,TCP,Free,
192.168.1.60,55,TCP,Free,
192.168.1.60,89,TCP,Free,
192.168.1.60,100,TCP,Free,
192.168.1.60,120,TCP,Free,
192.168.1.60,129,TCP,Free,
192.168.1.60,134,TCP,Free,
192.168.1.60,146,TCP,Free,
192.168.1.60,144,TCP,Free,
192.168.1.60,124,TCP,Free,
192.168.1.60,106,TCP,Free,
192.168.1.60,127,TCP,Free,
192.168.1.60,114,TCP,Free,
192.168.1.60,112,TCP,Free,
192.168.1.60,125,TCP,Free,
192.168.1.60,115,TCP,Free,
192.168.1.60,130,TCP,Free,
192.168.1.60,145,TCP,Free,
192.168.1.60,111,TCP,Free,
192.168.1.60,149,TCP,Free,
192.168.1.60,142,TCP,Free,
192.168.1.60,147,TCP,Free,
192.168.1.60,128,TCP,Free,
192.168.1.60,122,TCP,Free,
192.168.1.60,136,TCP,Free,
192.168.1.60,116,TCP,Free,
192.168.1.60,103,TCP,Free,
192.168.1.60,104,TCP,Free,
192.168.1.60,138,TCP,Free,
192.168.1.60,108,TCP,Free,
192.168.1.60,102,TCP,Free,
192.168.1.60,131,TCP,Free,
192.168.1.60,101,TCP,Free,
192.168.1.60,105,TCP,Free,
192.168.1.60,113,TCP,Free,
192.168.1.60,109,TCP,Free,
192.168.1.60,117,TCP,Free,
192.168.1.60,141,TCP,Free,
192.168.1.60,139,TCP,Free,
192.168.1.60,140,TCP,Free,
192.168.1.60,135,TCP,Free,
192.168.1.60,132,TCP,Free,
192.168.1.60,110,TCP,Free,
192.168.1.60,119,TCP,Free,
192.168.1.60,107,TCP,Free,
192.168.1.60,133,TCP,Free,
192.168.1.60,123,TCP,Free,
192.168.1.60,126,TCP,Free,
192.168.1.60,137,TCP,Free,
192.168.1.60,118,TCP,Free,
192.168.1.60,148,TCP,Free,
192.168.1.60,121,TCP,Free,
192.168.1.60,143,TCP,Free,
192.168.1.60,150,TCP,Free,
192.168.1.60,154,TCP,Free,
192.168.1.60,164,TCP,Free,
192.168.1.60,194,TCP,Free,
192.168.1.60,167,TCP,Free,
192.168.1.60,196,TCP,Free,
192.168.1.60,182,TCP,Free,
192.168.1.60,188,TCP,Free,
192.168.1.60,151,TCP,Free,
192.168.1.60,187,TCP,Free,
192.168.1.60,191,TCP,Free,
192.168.1.60,198,TCP,Free,
192.168.1.60,161,TCP,Free,
192.168.1.60,176,TCP,Free,
192.168.1.60,166,TCP,Free,
192.168.1.60,155,TCP,Free,
192.168.1.60,193,TCP,Free,
192.168.1.60,160,TCP,Free,
192.168.1.60,171,TCP,Free,
192.168.1.60,185,TCP,Free,
192.168.1.60,153,TCP,Free,
192.168.1.60,174,TCP,Free,
192.168.1.60,170,TCP,Free,
192.168.1.60,192,TCP,Free,
192.168.1.60,180,TCP,Free,
192.168.1.60,168,TCP,Free,
192.168.1.60,175,TCP,Free,
192.168.1.60,190,TCP,Free,
192.168.1.60,163,TCP,Free,
192.168.1.60,162,TCP,Free,
192.168.1.60,181,TCP,Free,
192.168.1.60,159,TCP,Free,
192.168.1.60,197,TCP,Free,
192.168.1.60,157,TCP,Free,
192.168.1.60,158,TCP,Free,
192.168.1.60,173,TCP,Free,
192.168.1.60,172,TCP,Free,
192.168.1.60,177,TCP,Free,
192.168.1.60,184,TCP,Free,
192.168.1.60,199,TCP,Free,
192.168.1.60,195,TCP,Free,
192.168.1.60,189,TCP,Free,
192.168.1.60,178,TCP,Free,
192.168.1.60,156,TCP,Free,
